"eventID ","case Spend area text","case Company","case Document Type","case Sub spend area text","case Purchasing Document","case Purch. Doc. Category name","case Vendor","case Item Type","case Item Category","case Spend classification text","case Source","case Name","case GR-Based Inv. Verif.","case Item","case concept:name","case Goods Receipt","event User","event org:resource","event concept:name","event Cumulative net worth (EUR)","event time:timestamp"
"65781719105536","Sales","companyID_0000","Standard PO","Products for Resale","4507004931","Purchase order","vendorID_0670","Standard","3-way match, invoice before GR","NPR","sourceSystemID_0000","vendor_0645","false","00020","4507004931_00020","true","NONE","NONE","Vendor creates invoice",68.0,26-01-1948 23:59:00.000
"65777424138241","Sales","companyID_0000","Standard PO","Products for Resale","4507004931","Purchase order","vendorID_0670","Standard","3-way match, invoice before GR","NPR","sourceSystemID_0000","vendor_0645","false","00010","4507004931_00010","true","NONE","NONE","Vendor creates debit memo",325.0,26-01-1948 23:59:00.000
"65777424138240","Sales","companyID_0000","Standard PO","Products for Resale","4507004931","Purchase order","vendorID_0670","Standard","3-way match, invoice before GR","NPR","sourceSystemID_0000","vendor_0645","false","00010","4507004931_00010","true","NONE","NONE","Vendor creates invoice",325.0,26-01-1948 23:59:00.000
"65794604007424","Sales","companyID_0000","Standard PO","Products for Resale","4507004931","Purchase order","vendorID_0670","Standard","3-way match, invoice before GR","NPR","sourceSystemID_0000","vendor_0645","false","00050","4507004931_00050","true","NONE","NONE","Vendor creates invoice",102.0,26-01-1948 23:59:00.000
"65794604007425","Sales","companyID_0000","Standard PO","Products for Resale","4507004931","Purchase order","vendorID_0670","Standard","3-way match, invoice before GR","NPR","sourceSystemID_0000","vendor_0645","false","00050","4507004931_00050","true","NONE","NONE","Vendor creates debit memo",102.0,26-01-1948 23:59:00.000
"65790309040129","Sales","companyID_0000","Standard PO","Products for Resale","4507004931","Purchase order","vendorID_0670","Standard","3-way match, invoice before GR","NPR","sourceSystemID_0000","vendor_0645","false","00040","4507004931_00040","true","NONE","NONE","Vendor creates debit memo",72.0,26-01-1948 23:59:00.000
"65790309040128","Sales","companyID_0000","Standard PO","Products for Resale","4507004931","Purchase order","vendorID_0670","Standard","3-way match, invoice before GR","NPR","sourceSystemID_0000","vendor_0645","false","00040","4507004931_00040","true","NONE","NONE","Vendor creates invoice",72.0,26-01-1948 23:59:00.000
"65786014072833","Sales","companyID_0000","Standard PO","Products for Resale","4507004931","Purchase order","vendorID_0670","Standard","3-way match, invoice before GR","NPR","sourceSystemID_0000","vendor_0645","false","00030","4507004931_00030","true","NONE","NONE","Vendor creates debit memo",1856.0,26-01-1948 23:59:00.000
"65786014072832","Sales","companyID_0000","Standard PO","Products for Resale","4507004931","Purchase order","vendorID_0670","Standard","3-way match, invoice before GR","NPR","sourceSystemID_0000","vendor_0645","false","00030","4507004931_00030","true","NONE","NONE","Vendor creates invoice",1856.0,26-01-1948 23:59:00.000
"65781719105537","Sales","companyID_0000","Standard PO","Products for Resale","4507004931","Purchase order","vendorID_0670","Standard","3-way match, invoice before GR","NPR","sourceSystemID_0000","vendor_0645","false","00020","4507004931_00020","true","NONE","NONE","Vendor creates debit memo",68.0,26-01-1948 23:59:00.000
